lat,long,count
40.579078,-73.957242,49
40.655538,-73.884099,357
40.687359,-73.985917,140
40.754171,-73.982503,3688
40.646965,-74.020938,371
40.638935,-74.167397,168
40.696771,-73.912585,23
40.673976,-73.943820,255
40.830972,-73.911892,40
40.758516,-73.961310,93
40.828367,-73.861196,10
40.633092,-74.007135,10
40.712252,-73.905776,25
40.639351,-74.141603,10
40.824280,-73.947408,181
40.599459,-73.961276,75
40.728153,-73.982012,109
40.752056,-73.928325,30
40.801434,-73.964987,168
40.643532,-74.088519,1
40.784562,-73.943774,227
40.748507,-73.990589,464
40.612805,-73.984337,11
40.775136,-73.955217,93
40.592831,-73.984501,41
40.651465,-73.954236,46
40.855838,-73.900140,684
40.683561,-73.855988,10
40.591919,-73.967650,134
40.637399,-74.160713,14
40.841406,-73.869745,45
40.763284,-73.904452,6
40.682176,-73.983131,683
40.745940,-73.883747,121
40.746086,-73.898745,65
40.859811,-73.905791,41
40.859336,-73.902210,146
40.754422,-73.998753,25
40.595869,-73.781895,68
40.656473,-73.879852,6
40.896372,-73.858623,9
40.600798,-74.138964,10
40.749009,-73.937762,184
40.692296,-73.773322,8
40.660618,-73.741852,21
40.843013,-73.886252,446
40.649368,-74.012834,21
40.728486,-73.953466,89
40.816122,-73.897757,181
40.708870,-73.942601,69
40.764841,-73.916990,17
40.598061,-74.066443,1
40.695199,-73.950849,573
